;;;;;Data Destinasi Nasional;;;;;;
No;CODING ACUAN;DEST;SYS-CODE;"3
Code";PROVINSI;KABUPATEN / KOTA;NAMA KAB/KOTA;KECAMATAN;KELURAHAN;kode pos; ZONA 
84;AMI20100;AMI20115;AMI20115;AMI;Nusa Tenggara Barat (NTB);Kota;Bima ;Mpunda;Monggonao;84111;B
85;AMI20100;AMI20115;AMI20115;AMI;Nusa Tenggara Barat (NTB);Kota;Bima ;Mpunda;Panggi;84119;B
86;AMI20100;AMI20115;AMI20115;AMI;Nusa Tenggara Barat (NTB);Kota;Bima ;Mpunda;Penatoi;84115;B
87;AMI20100;AMI20115;AMI20115;AMI;Nusa Tenggara Barat (NTB);Kota;Bima ;Mpunda;Sadia;84112;B
88;AMI20100;AMI20115;AMI20115;AMI;Nusa Tenggara Barat (NTB);Kota;Bima ;Mpunda;Sambinae;84119;B
89;AMI20100;AMI20115;AMI20115;AMI;Nusa Tenggara Barat (NTB);Kota;Bima ;Mpunda;Santi;84119;B
90;AMI20200;AMI20200;AMI20200;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Dompu;Bada;84211;B
91;AMI20200;AMI20200;AMI20200;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Dompu;Bali;84213;B
92;AMI20200;AMI20200;AMI20200;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Dompu;Dora Tangga;84219;B
93;AMI20200;AMI20200;AMI20200;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Dompu;Dore Bara;84212;B
94;AMI20200;AMI20200;AMI20200;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Dompu;Kandai I;84219;B
95;AMI20200;AMI20200;AMI20200;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Dompu;Karamabura;84219;B
96;AMI20200;AMI20200;AMI20200;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Dompu;Kareke;84219;B
97;AMI20200;AMI20200;AMI20200;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Dompu;Karijawa;84217;B
98;AMI20200;AMI20200;AMI20200;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Dompu;Katua;84219;B
99;AMI20200;AMI20200;AMI20200;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Dompu;Mangge Nae;84219;B
100;AMI20200;AMI20200;AMI20200;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Dompu;Manggeasi;84219;B
101;AMI20200;AMI20200;AMI20200;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Dompu;Mbawi;84219;B
102;AMI20200;AMI20200;AMI20200;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Dompu;O'o;84219;B
103;AMI20200;AMI20200;AMI20200;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Dompu;Potu;84214;B
104;AMI20200;AMI20200;AMI20200;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Dompu;Sori Sakolo;84213;B
105;AMI20200;AMI20201;AMI20201;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Hu'u;Adu;84271;D
106;AMI20200;AMI20201;AMI20201;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Hu'u;Cempi Jaya;84271;D
107;AMI20200;AMI20201;AMI20201;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Hu'u;Daha;84271;D
108;AMI20200;AMI20201;AMI20201;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Hu'u;Hu'u;84271;D
109;AMI20200;AMI20201;AMI20201;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Hu'u;Jala;84271;D
110;AMI20200;AMI20201;AMI20201;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Hu'u;Merada;84271;D
111;AMI20200;AMI20201;AMI20201;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Hu'u;Rasa Bou;84271;D
